# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 235 06/17/2009 Service Pack 2 SJ Web Edition
# File: C:\altera\cores\z80soc\DE1\z80soc.csv
# Generated on: Mon Sep 14 22:50:01 2009

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,PCB layer
GPIO_0[0],Unknown,PIN_A13,4,B4_N1,3.3-V LVTTL,,,,
GPIO_0[1],Unknown,PIN_B13,4,B4_N1,3.3-V LVTTL,,,,
GPIO_0[2],Unknown,PIN_A14,4,B4_N1,3.3-V LVTTL,,,,
GPIO_0[3],Unknown,PIN_B14,4,B4_N1,3.3-V LVTTL,,,,
GPIO_0[4],Unknown,PIN_A15,4,B4_N1,3.3-V LVTTL,,,,
GPIO_0[5],Unknown,PIN_B15,4,B4_N1,3.3-V LVTTL,,,,
GPIO_0[6],Unknown,PIN_A16,4,B4_N1,3.3-V LVTTL,,,,
GPIO_0[7],Unknown,PIN_B16,4,B4_N1,3.3-V LVTTL,,,,
GPIO_0[8],Unknown,PIN_A17,4,B4_N1,3.3-V LVTTL,,,,
GPIO_0[9],Unknown,PIN_B17,4,B4_N1,3.3-V LVTTL,,,,
GPIO_0[10],Unknown,PIN_A18,4,B4_N0,3.3-V LVTTL,,,,
GPIO_0[11],Unknown,PIN_B18,4,B4_N0,3.3-V LVTTL,,,,
GPIO_0[12],Unknown,PIN_A19,4,B4_N0,3.3-V LVTTL,,,,
GPIO_0[13],Unknown,PIN_B19,4,B4_N0,3.3-V LVTTL,,,,
GPIO_0[14],Unknown,PIN_A20,4,B4_N0,3.3-V LVTTL,,,,
GPIO_0[15],Unknown,PIN_B20,4,B4_N0,3.3-V LVTTL,,,,
GPIO_0[16],Unknown,PIN_C21,5,B5_N0,3.3-V LVTTL,,,,
GPIO_0[17],Unknown,PIN_C22,5,B5_N0,3.3-V LVTTL,,,,
GPIO_0[18],Unknown,PIN_D21,5,B5_N0,3.3-V LVTTL,,,,
GPIO_0[19],Unknown,PIN_D22,5,B5_N0,3.3-V LVTTL,,,,
GPIO_0[20],Unknown,PIN_E21,5,B5_N0,3.3-V LVTTL,,,,
GPIO_0[21],Unknown,PIN_E22,5,B5_N0,3.3-V LVTTL,,,,
GPIO_0[22],Unknown,PIN_F21,5,B5_N0,3.3-V LVTTL,,,,
GPIO_0[23],Unknown,PIN_F22,5,B5_N0,3.3-V LVTTL,,,,
GPIO_0[24],Unknown,PIN_G21,5,B5_N1,3.3-V LVTTL,,,,
GPIO_0[25],Unknown,PIN_G22,5,B5_N1,3.3-V LVTTL,,,,
GPIO_0[26],Unknown,PIN_J21,5,B5_N1,3.3-V LVTTL,,,,
GPIO_0[27],Unknown,PIN_J22,5,B5_N1,3.3-V LVTTL,,,,
GPIO_0[28],Unknown,PIN_K21,5,B5_N1,3.3-V LVTTL,,,,
GPIO_0[29],Unknown,PIN_K22,5,B5_N1,3.3-V LVTTL,,,,
GPIO_0[30],Unknown,PIN_J19,5,B5_N1,3.3-V LVTTL,,,,
GPIO_0[31],Unknown,PIN_J20,5,B5_N1,3.3-V LVTTL,,,,
GPIO_0[32],Unknown,PIN_J18,5,B5_N1,3.3-V LVTTL,,,,
GPIO_0[33],Unknown,PIN_K20,5,B5_N1,3.3-V LVTTL,,,,
GPIO_0[34],Unknown,PIN_L19,5,B5_N1,3.3-V LVTTL,,,,
GPIO_0[35],Unknown,PIN_L18,5,B5_N1,3.3-V LVTTL,,,,
GPIO_1[0],Unknown,PIN_H12,4,B4_N1,3.3-V LVTTL,,,,
